iter	Passed	Remaining
0	2	221
1	4	208
2	5	191
3	7	174
4	8	170
5	11	174
6	12	171
7	14	168
8	16	164
9	17	160
10	19	157
11	21	155
12	22	153
13	24	150
14	25	145
15	26	140
16	28	137
17	29	133
18	30	129
19	31	126
20	33	124
21	34	123
22	35	119
23	36	116
24	37	113
25	38	109
26	39	106
27	40	104
28	41	101
29	42	98
30	42	95
31	43	92
32	44	90
33	45	88
34	46	86
35	47	84
36	48	82
37	49	80
38	50	79
39	51	77
40	52	74
41	52	72
42	53	70
43	54	68
44	55	67
45	56	65
46	57	64
47	57	62
48	58	60
49	59	59
50	60	57
51	60	56
52	61	54
53	62	53
54	63	52
55	64	50
56	65	49
57	65	47
58	66	46
59	67	44
60	68	43
61	68	42
62	69	40
63	70	39
64	70	38
65	71	36
66	72	35
67	72	34
68	73	32
69	73	31
70	74	30
71	75	29
72	75	28
73	76	26
74	76	25
75	77	24
76	78	23
77	78	22
78	79	21
79	80	20
80	80	18
81	81	17
82	82	16
83	82	15
84	83	14
85	84	13
86	85	12
87	85	11
88	86	10
89	87	9
90	87	8
91	88	7
92	88	6
93	89	5
94	90	4
95	90	3
96	91	2
97	92	1
98	92	0
99	93	0
