iter	Passed	Remaining
0	140	140806
1	143	71671
2	144	48166
3	145	36338
4	146	29248
5	148	24657
6	150	21304
7	151	18791
8	152	16812
9	154	15253
10	154	13932
11	155	12832
12	156	11900
13	157	11091
14	158	10403
15	159	9797
16	160	9268
17	161	8831
18	162	8411
19	164	8045
20	165	7702
21	166	7387
22	167	7103
23	168	6838
24	169	6594
25	171	6409
26	172	6218
27	173	6039
28	175	5866
29	176	5697
30	177	5537
31	178	5396
32	179	5256
33	180	5142
34	181	5016
35	182	4897
36	183	4778
37	184	4672
38	185	4567
39	186	4466
40	186	4370
41	188	4307
42	190	4231
43	191	4167
44	193	4097
45	194	4027
46	195	3955
47	195	3884
48	196	3819
49	198	3766
50	199	3710
51	200	3652
52	201	3599
53	203	3558
54	204	3517
55	205	3469
56	206	3420
57	207	3368
58	208	3321
59	209	3276
60	209	3231
61	210	3187
62	211	3145
63	212	3104
64	213	3066
65	215	3050
66	217	3025
67	218	2992
68	219	2959
69	220	2925
70	221	2892
71	221	2860
72	222	2828
73	223	2797
74	224	2770
75	227	2760
76	228	2733
77	229	2707
78	229	2680
79	231	2665
80	232	2639
81	233	2612
82	233	2582
83	234	2557
84	235	2532
85	236	2511
86	237	2491
87	238	2470
88	239	2447
89	239	2425
90	240	2402
91	241	2381
92	242	2361
93	242	2340
94	243	2320
95	244	2300
96	245	2286
97	246	2271
98	248	2260
99	249	2246
100	250	2232
101	251	2215
102	252	2199
103	253	2181
104	253	2164
105	254	2148
106	255	2132
107	256	2116
108	257	2101
109	257	2087
110	259	2079
111	260	2066
112	263	2070
113	264	2056
114	265	2042
115	266	2027
116	266	2012
117	267	1998
118	268	1985
119	268	1972
120	269	1960
121	270	1949
122	271	1936
123	272	1923
124	272	1910
125	273	1898
126	274	1885
127	275	1873
128	275	1862
129	276	1850
130	277	1838
131	277	1826
132	278	1815
133	279	1804
134	280	1794
135	280	1784
136	282	1779
137	284	1774
138	284	1765
139	285	1755
140	286	1745
141	286	1734
142	287	1724
143	288	1715
144	289	1705
145	289	1695
146	290	1686
147	291	1678
148	292	1672
149	293	1665
150	294	1657
151	295	1649
152	296	1641
153	297	1633
154	298	1625
155	298	1617
156	299	1609
157	300	1601
158	301	1593
159	302	1586
160	302	1577
161	305	1579
162	306	1572
163	307	1565
164	308	1559
165	308	1552
166	309	1546
167	310	1539
168	311	1532
169	312	1526
170	313	1520
171	315	1519
172	316	1514
173	317	1508
174	318	1502
175	319	1496
176	320	1490
177	321	1484
178	322	1479
179	323	1472
180	324	1467
181	325	1461
182	326	1458
183	327	1453
184	328	1449
185	329	1444
186	330	1438
187	331	1433
188	333	1429
189	334	1424
190	335	1419
191	337	1422
192	339	1419
193	340	1414
194	341	1409
195	342	1404
196	343	1399
197	344	1394
198	345	1389
199	346	1384
200	346	1379
201	348	1375
202	349	1371
203	350	1367
204	351	1363
205	352	1358
206	353	1353
207	354	1348
208	355	1343
209	356	1339
210	357	1335
211	359	1334
212	360	1333
213	362	1329
214	363	1325
215	364	1321
216	365	1317
217	365	1312
218	366	1308
219	367	1304
220	368	1300
221	370	1296
222	371	1294
223	372	1290
224	374	1288
225	375	1285
226	376	1281
227	377	1277
228	378	1273
229	379	1270
230	380	1267
231	382	1265
232	383	1263
233	384	1260
234	386	1256
235	387	1253
236	388	1250
237	389	1246
238	390	1243
239	391	1240
240	394	1242
241	396	1242
242	398	1240
243	399	1237
244	400	1234
245	401	1231
246	402	1227
247	404	1227
248	407	1227
249	408	1224
250	409	1220
251	410	1217
252	410	1213
253	411	1209
254	412	1205
255	413	1202
256	414	1198
257	415	1195
258	417	1193
259	418	1190
260	419	1186
261	419	1182
262	420	1179
263	421	1176
264	422	1172
265	423	1169
266	424	1166
267	425	1162
268	426	1159
269	429	1160
270	430	1157
271	431	1153
272	431	1150
273	432	1146
274	433	1142
275	434	1138
276	434	1135
277	435	1131
278	436	1128
279	437	1124
280	438	1123
281	440	1120
